what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284795963843
activated,editor,com.android.ide.eclipse.adt,0.9.8.v201008281755-53891,"com.android.ide.eclipse.editors.layout.LayoutEditor",1284795966703
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1284795985968
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1284795990109
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1284795999390
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1284796007593
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284796011484
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284796011484
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284796011640
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284796015062
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1284796015093
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284796021234
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284796027156
opened,view,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.views.ProblemView",1284796029828
activated,view,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.views.ProblemView",1284796029921
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284796088390
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284796355468
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1284796358015
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284796364593
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284796366390
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1284796366421
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284796375171
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284796403781
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.import",1284796403828
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.import",1284796403828
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1284796409593
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1284796431250
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284796440156
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284796441859
