what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.compare,3.5.2.r35x_20100113-0800,"org.eclipse.compare",1285059080669
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1285059084138
activated,view,com.android.ide.eclipse.ddms,0.9.8.v201008281755-53891,"com.android.ide.eclipse.ddms.views.LogCatView",1285059084169
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1285059090841
started,bundle,org.eclipse.jdt.junit,3.5.2.r352_v20100113-0800,"org.eclipse.jdt.junit",1285059092951
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.debug",1285059094669
error,log,,,"No command output when running: 'am start -D -n fr.amsuc.android.activite/fr.amsuc.android.activite.Main -a android.intent.action.MAIN -c android.intent.category.LAUNCHER' on device emulator-5554",1285059115263
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285059119716
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285059167544
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.debug",1285059170513
error,log,,,"No command output when running: 'am start -D -n de.vogella.android.temperature/de.vogella.android.temperature.Convert -a android.intent.action.MAIN -c android.intent.category.LAUNCHER' on device emulator-5554",1285059182951
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285059198513
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285059240951
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.debug",1285059244747
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285059288732
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285059334154
activated,view,com.android.ide.eclipse.ddms,0.9.8.v201008281755-53891,"com.android.ide.eclipse.ddms.views.LogCatView",1285059334294
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1285059348497
activated,perspective,com.android.ide.eclipse.ddms,0.9.8.v201008281755-53891,"com.android.ide.eclipse.ddms.Perspective",1285059354091
activated,view,com.android.ide.eclipse.ddms,0.9.8.v201008281755-53891,"com.android.ide.eclipse.ddms.views.DeviceView",1285059356029
activated,view,com.android.ide.eclipse.ddms,0.9.8.v201008281755-53891,"com.android.ide.eclipse.ddms.views.EmulatorControlView",1285059360060
activated,view,com.android.ide.eclipse.ddms,0.9.8.v201008281755-53891,"com.android.ide.eclipse.ddms.views.DeviceView",1285059363982
activated,view,com.android.ide.eclipse.ddms,0.9.8.v201008281755-53891,"com.android.ide.eclipse.ddms.views.EmulatorControlView",1285059372326
activated,view,com.android.ide.eclipse.ddms,0.9.8.v201008281755-53891,"com.android.ide.eclipse.ddms.views.LogCatView",1285059393482
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285059398388
activated,view,com.android.ide.eclipse.ddms,0.9.8.v201008281755-53891,"com.android.ide.eclipse.ddms.views.EmulatorControlView",1285059407529
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285059407529
