what,kind,bundleId,bundleVersion,description,time
os,sysinfo,,,"win32",1285061237425
arch,sysinfo,,,"x86",1285061237425
ws,sysinfo,,,"win32",1285061237425
locale,sysinfo,,,"fr_FR",1285061237425
processors,sysinfo,,,"1",1285061237425
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1285061237425
java.runtime.version,sysinfo,,,"1.6.0_21-b07",1285061237425
java.specification.name,sysinfo,,,"Java Platform API Specification",1285061237425
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1285061237425
java.specification.version,sysinfo,,,"1.6",1285061237425
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1285061237425
java.version,sysinfo,,,"1.6.0_21",1285061237425
java.vm.info,sysinfo,,,"mixed mode, sharing",1285061237425
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1285061237425
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1285061237425
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1285061237425
java.vm.specification.version,sysinfo,,,"1.0",1285061237425
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1285061237425
java.vm.version,sysinfo,,,"17.0-b17",1285061237425
started,bundle,com.android.ide.eclipse.adt,0.9.8.v201008281755-53891,"com.android.ide.eclipse.adt",1285061237706
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1285061237738
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.101.r352_v20100209,"org.eclipse.ltk.ui.refactoring",1285061237769
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1285061241535
started,bundle,org.eclipse.compare,3.5.2.r35x_20100113-0800,"org.eclipse.compare",1285061244128
started,bundle,org.eclipse.debug.core,3.5.1.v20091103_r352,"org.eclipse.debug.core",1285061246519
started,bundle,org.eclipse.jdt.launching,3.5.1.v20100108_r352,"org.eclipse.jdt.launching",1285061246519
started,bundle,org.eclipse.jdt.apt.core,3.3.202.R35x_v20091130-2300,"org.eclipse.jdt.apt.core",1285061246519
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.201.R35x_v20090925-1100,"org.eclipse.jdt.apt.pluggable.core",1285061246597
started,bundle,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui",1285061247613
started,bundle,org.eclipse.jdt.junit,3.5.2.r352_v20100113-0800,"org.eclipse.jdt.junit",1285061247910
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.debug",1285061249175
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1285061261488
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1285061263300
error,log,,,"No command output when running: 'am start -D -n fr.amsuc.android.activite/fr.amsuc.android.activite.Main -a android.intent.action.MAIN -c android.intent.category.LAUNCHER' on device emulator-5554",1285061265300
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285061267238
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1285061275394
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285061288738
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285061288894
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285062012254
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1285062012347
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285062015957
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285062028300
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285062028425
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285062029504
started,bundle,org.eclipse.equinox.p2.ui,1.0.101.R35x_v20090819,"org.eclipse.equinox.p2.ui",1285062031597
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk",1285062031644
started,bundle,org.eclipse.equinox.p2.metadata,1.0.101.R35x_v20100112,"org.eclipse.equinox.p2.metadata",1285062031785
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285062033285
started,bundle,org.eclipse.equinox.p2.extensionlocation,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.extensionlocation",1285062034988
started,bundle,org.eclipse.equinox.p2.updatesite,1.0.101.R35x_20100105,"org.eclipse.equinox.p2.updatesite",1285062035722
started,bundle,org.eclipse.equinox.p2.publisher,1.0.1.R35x_20100105,"org.eclipse.equinox.p2.publisher",1285062035722
error,log,,,"Unable to load the repository jar:file:/C:/Documents%20and%20Settings/Anne-Marie/Mes%20documents/Mes%20téléchargements/DEVELOPPEMENT/eclipse/for%20android/ADT-0.9.8.zip!/",1285062051300
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285062055160
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk.install",1285062055175
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285062056691
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285062057566
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285062058222
stopped,bundle,org.eclipse.team.cvs.ssh2,3.2.200.I20090508-2000,"org.eclipse.team.cvs.ssh2",1285062059050
stopped,bundle,org.eclipse.team.cvs.ssh,3.2.100.I20090508-2000,"org.eclipse.team.cvs.ssh",1285062059066
stopped,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1285062059066
stopped,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1285062059066
stopped,bundle,org.eclipse.jsch.ui,1.1.200.r35x_20100210-1114,"org.eclipse.jsch.ui",1285062059066
stopped,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1285062059066
stopped,bundle,org.eclipse.help.webapp,3.4.1.v20091009_35x,"org.eclipse.help.webapp",1285062059066
stopped,bundle,org.eclipse.equinox.jsp.jasper.registry,1.0.100.v20090520-1800,"org.eclipse.equinox.jsp.jasper.registry",1285062059082
stopped,bundle,org.eclipse.equinox.jsp.jasper,1.0.200.v20090520-1800,"org.eclipse.equinox.jsp.jasper",1285062059082
stopped,bundle,com.android.ide.eclipse.adt,0.9.8.v201008281755-53891,"com.android.ide.eclipse.adt",1285062059082
stopped,bundle,org.eclipse.ui.cheatsheets,3.3.200.v20090526,"org.eclipse.ui.cheatsheets",1285062059082
stopped,bundle,org.eclipse.help.ui,3.4.1.v20090819_35x,"org.eclipse.help.ui",1285062059082
stopped,bundle,org.eclipse.epp.usagedata.ui,1.1.1.R201001291118,"org.eclipse.epp.usagedata.ui",1285062059082
stopped,bundle,org.eclipse.ui.intro.universal,3.2.300.v20090526,"org.eclipse.ui.intro.universal",1285062059097
stopped,bundle,org.eclipse.ui.intro,3.3.2.v20100111_35x,"org.eclipse.ui.intro",1285062059113
stopped,bundle,org.eclipse.help.base,3.4.0.v201002111343,"org.eclipse.help.base",1285062059113
stopped,bundle,org.eclipse.equinox.http.jetty,2.0.0.v20090520-1800,"org.eclipse.equinox.http.jetty",1285062059129
stopped,bundle,org.eclipse.equinox.http.servlet,1.0.200.v20090520-1800,"org.eclipse.equinox.http.servlet",1285062059129
stopped,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.reconciler.dropins",1285062059129
stopped,bundle,org.eclipse.equinox.p2.extensionlocation,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.extensionlocation",1285062059129
stopped,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.100.v20090525,"org.eclipse.equinox.p2.directorywatcher",1285062059129
stopped,bundle,org.eclipse.equinox.util,1.0.100.v20090520-1800,"org.eclipse.equinox.util",1285062059129
stopped,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,3.0.1.v20090831-1906,"org.eclipse.ecf.provider.filetransfer.httpclient",1285062059129
stopped,bundle,org.eclipse.equinox.p2.director.app,1.0.101.R35x_v20091106,"org.eclipse.equinox.p2.director.app",1285062059129
stopped,bundle,org.eclipse.equinox.p2.console,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.console",1285062059144
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk",1285062059144
stopped,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk.scheduler",1285062059144
stopped,bundle,org.eclipse.equinox.p2.ui,1.0.101.R35x_v20090819,"org.eclipse.equinox.p2.ui",1285062059144
