what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284897955375
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284897962718
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284897965609
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284897969437
activated,view,com.android.ide.eclipse.ddms,0.9.8.v201008281755-53891,"com.android.ide.eclipse.ddms.views.LogCatView",1284897969593
error,log,,,"No command output when running: 'am start -n fr.amsuc.android.menu/fr.amsuc.android.menu.Main -a android.intent.action.MAIN -c android.intent.category.LAUNCHER' on device emulator-5554",1284897974484
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284897974531
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284898021531
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1284898041375
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1284898044968
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1284898078031
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284898084656
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284898209500
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1284898212484
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.lineEnd",1284898225046
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1284898320187
executed,command,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1284898323359
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1284898325562
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1284898339328
activated,view,com.android.ide.eclipse.ddms,0.9.8.v201008281755-53891,"com.android.ide.eclipse.ddms.views.LogCatView",1284898362171
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1284898364156
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284898368046
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284898371546
activated,view,com.android.ide.eclipse.ddms,0.9.8.v201008281755-53891,"com.android.ide.eclipse.ddms.views.LogCatView",1284898371703
